experiment,f1_mean,f1_std,flip_rate_mean,flip_rate_std,prob_gap_mean,prob_gap_std,pair_accuracy_mean,pair_accuracy_std,strict_flip_rate_mean,strict_flip_rate_std,strict_prob_gap_mean,strict_prob_gap_std,strict_pair_accuracy_mean,strict_pair_accuracy_std,pair_count_mean,strict_pair_count_mean,train_valid_cf_count_mean,train_valid_cf_ratio_mean,cons_batch_ratio_mean,avg_valid_cf_per_batch_mean,lambda_mean,effective_lambda_mean,fpr_min_group_n_mean,fpr_gap_mean,fpr_gap_std
Baseline,0.7882,0.0026,0.0549,0.0112,0.044,0.0049,0.8029,0.0102,0.0543,0.0123,0.0447,0.0034,0.8076,0.0128,455,350,,0.0,,,,,3.0,0.4785,0.1983
Naive Swap,0.7916,0.0017,0.0212,0.0041,0.0168,0.0006,0.8168,0.0037,0.0229,0.004,0.0165,0.0009,0.8171,0.0023,455,350,,0.0449,,,,,3.0,0.4669,0.156
Strict-Gated,0.7907,0.0035,0.0234,0.009,0.0198,0.0012,0.822,0.0047,0.0219,0.0097,0.019,0.0008,0.8248,0.0088,455,350,,0.0346,,,,,3.0,0.6481,0.144
Strict-Matched,0.7906,0.0041,0.0205,0.0037,0.0176,0.0009,0.8264,0.0031,0.02,0.0084,0.0166,0.0006,0.8295,0.011,455,350,,0.0346,,,,,3.0,0.5162,0.2876
Strict_lam=0.15,0.7917,0.0014,0.019,0.0055,0.0168,0.0017,0.8249,0.001,0.0181,0.0036,0.016,0.0009,0.8305,0.0013,455,350,,0.0346,,,,,3.0,0.5093,0.1762
Masking Cons Reg,0.7901,0.0025,0.0491,0.0099,0.0435,0.0055,0.811,0.0122,0.0495,0.0082,0.0452,0.0049,0.8133,0.0135,455,350,7735.0,0.0449,0.9482,2.8755,0.1,0.0045,3.0,0.4653,0.1925
Strict_lam=0.05,0.7917,0.0042,0.0271,0.0102,0.0231,0.0031,0.8293,0.0099,0.0219,0.0119,0.0221,0.002,0.8352,0.0144,455,350,5964.0,0.0346,0.8954,2.2171,0.05,0.0017,3.0,0.3111,0.1325
Strict_lam=0.25,0.7898,0.0046,0.0242,0.0058,0.0163,0.0017,0.83,0.0067,0.0229,0.0057,0.0148,0.0014,0.8381,0.0135,455,350,5964.0,0.0346,0.8954,2.2171,0.25,0.0087,3.0,0.6273,0.1614
